ARKK,-7.661969395018691E-10,1325.3145807881053
BKLN,-9.752762244052498E-11,184.54881471964342
EEM,-3.7735752180908933E-10,672.4551116339381
EFA,-1.639913838227955E-10,345.32060892190674
EWC,-4.0216694305781576E-10,709.0464422411319
EWZ,-4.3687838991876767E-10,760.6375584005033
FXI,-4.4736783279855977E-10,779.9237561934847
GDX,6.074474448461479E-10,-989.447607613527
GLD,2.596171843518776E-9,-4179.95745649118
HYG,-2.9874854713236797E-10,575.8019892111014
IWM,-4.5704585666295525E-9,7853.203787261973
IWN,-4.580345940625336E-9,7829.999804103459
KWEB,-6.199972346270536E-10,1071.1530460424542
LQD,8.24008032657903E-11,-30.416498450769996
QQQ,2.3051443206702156E-9,-3564.7812066090446
SLV,3.0920952501133146E-10,-498.43332546060543
SPY,-1.970355777143546E-9,3708.098377512953
TLT,4.190687976053893E-10,-598.8309498317093
XLE,-1.248186547925657E-9,2178.6589317954567
XLF,-1.2103915220892917E-9,2065.219418669077
AAP,-8.20641017500352E-9,13904.96180863366
AAPL,2.386523613612166E-9,-3850.864664060447
ABNB,-6.860637252070421E-10,1272.5123112209658
ADBE,3.0826126990913897E-10,-157.70336966714677
AMD,3.1150224273540193E-9,-5139.931745153888
AMZN,-3.4860119862884064E-10,683.0758944631432
BA,-1.2770229333967595E-9,2350.1981100845546
BABA,-2.643799126778999E-9,4531.1250009322275
BAC,-1.9616881738305138E-9,3323.71136547858
BOIL,-5.682930360558673E-10,958.8951848579688
CAT,-6.682113901033019E-9,11448.38109128518
CCL,-5.449173522248403E-10,924.818567420973
COIN,-1.406964379060112E-10,301.2174195359102
DIA,-2.804524511919786E-9,5036.542239000194
DIS,-3.1705250789930704E-9,5421.493740165806
ENPH,-4.311845229593159E-9,7444.775292899059
F,-2.895979205033209E-10,498.3928059433598
FDX,3.3634423177851272E-9,-5431.8693813989785
GLD,2.5872490306115886E-9,-4164.991816826009
GME,1.4282166326197357E-10,-219.1785434616445
GOOG,9.3197603783554E-10,-1465.5058840736046
GOOGL,9.245552920798508E-10,-1453.4587662297376
HYG,-3.2383886034025793E-10,617.8829146029325
IWM,-4.690649768130857E-9,8054.789805146523
JPM,-3.360813206998259E-9,5775.127264827218
LCID,-8.098304434260396E-10,1367.9717890113425
META,6.579471162083062E-9,-10852.119714299
MO,-5.411977988387529E-10,954.3607344814678
MRNA,-3.968436038272227E-9,6813.687026590061
MSFT,4.419399269403717E-9,-7150.315316915179
NFLX,-7.629883259888987E-9,13134.093952576295
NIO,-3.8825109837937525E-10,661.1750147459007
NKE,-1.0310405721391476E-9,1851.742844611546
NVDA,1.2454637489508317E-8,-20659.94406655109
PLTR,-9.603224679976833E-11,169.42063693676755
PYPL,-1.6166684138807833E-9,2789.0283341175323
QQQ,2.160170389881895E-9,-3321.6347664085533
ROKU,1.7578864073637475E-10,-231.96560984862722
SHOP,-9.073120815219647E-10,1567.9389681960058
SLV,2.7435693821627263E-10,-439.97860485900895
SNAP,1.2550602030318777E-11,-10.20520992935921
SPY,-2.2590138610093753E-9,4192.232546418729
SQ,-3.1385799335462474E-9,5341.118790508261
SQQQ,-9.09700414629025E-10,1562.0118098471207
TLT,3.8370978514683685E-10,-539.5257089449909
TSLA,-1.8041555573183867E-9,3220.656083369125
UNG,-3.2531281645346114E-10,553.8940442294235
WFC,-2.579014239120022E-9,4370.561225892656
WMT,3.340126450220866E-10,-418.0448401456857
XOM,-1.231064130275814E-9,2176.297534880188
